state_fips|state_usps|county_fips|county_name|zone|zone_name|time_zone|feature_area|latitude|longitude
01|AL|001|Autauga|041|Autauga|C|c|32.53490|-86.64280
01|AL|003|Baldwin|262|Baldwin Inland|C|sw|30.49400|-87.66990
01|AL|003|Baldwin|264|Baldwin Central|C|sw|30.94710|-87.76150
01|AL|003|Baldwin|266|Baldwin Coastal|C|sw|30.49400|-87.66990
01|AL|005|Barbour|050|Barbour|C|se|31.86960|-85.39320
01|AL|007|Bibb|034|Bibb|C|c|32.99860|-87.12640
01|AL|009|Blount|017|Blount|C|c|33.98090|-86.56740
01|AL|011|Bullock|046|Bullock|C|se|32.10050|-85.71610
01|AL|013|Butler|057|Butler|C|sc|31.75240|-86.68030
01|AL|015|Calhoun|019|Calhoun|C|ec|33.77140|-85.82610
01|AL|017|Chambers|038|Chambers|C|ec|32.91440|-85.39200
01|AL|019|Cherokee|020|Cherokee|C|ne|34.17600|-85.60380
01|AL|021|Chilton|035|Chilton|C|c|32.84790|-86.71880
01|AL|023|Choctaw|051|Choctaw|C|sw|32.01920|-88.26280
01|AL|025|Clarke|053|Clarke|C|sw|31.67090|-87.83090
01|AL|027|Clay|028|Clay|C|ec|33.26910|-85.86050
01|AL|029|Cleburne|021|Cleburne|C|ec|33.67450|-85.51880
01|AL|031|Coffee|065|Coffee|C|se|31.40260|-85.98820
01|AL|033|Colbert|002|Colbert|C|nw|34.70050|-87.80490
01|AL|035|Conecuh|056|Conecuh|C|sc|31.42930|-86.99360
01|AL|037|Coosa|036|Coosa|C|ec|32.93620|-86.24760
01|AL|039|Covington|060|Covington|C|sc|31.24850|-86.45120
01|AL|041|Crenshaw|058|Crenshaw|C|sc|31.73150|-86.31360
01|AL|043|Cullman|016|Cullman|C|nc|34.13200|-86.86760
01|AL|045|Dale|066|Dale|C|se|31.43180|-85.61100
01|AL|047|Dallas|040|Dallas|C|sc|32.32580|-87.10650
01|AL|049|DeKalb|010|De Kalb|C|ne|34.45980|-85.80410
01|AL|051|Elmore|043|Elmore|C|ec|32.59660|-86.14920
01|AL|053|Escambia|059|Escambia|C|sc|31.12620|-87.16160
01|AL|055|Etowah|018|Etowah|C|ne|34.04530|-86.03480
01|AL|057|Fayette|013|Fayette|C|wc|33.72120|-87.73890
01|AL|059|Franklin|003|Franklin|C|nw|34.44170|-87.84380
01|AL|061|Geneva|068|Geneva|C|se|31.09500|-85.83900
01|AL|063|Greene|031|Greene|C|wc|32.85310|-87.95220
01|AL|065|Hale|032|Hale|C|wc|32.76270|-87.62910
01|AL|067|Henry|067|Henry|C|se|31.51470|-85.24140
01|AL|069|Houston|069|Houston|C|se|31.15320|-85.30250
01|AL|071|Jackson|009|Jackson|C|ne|34.77940|-85.99930
01|AL|073|Jefferson|024|Jefferson|C|c|33.55430|-86.89650
01|AL|075|Lamar|012|Lamar|C|wc|33.77920|-88.09690
01|AL|077|Lauderdale|001|Lauderdale|C|nw|34.90150|-87.65440
01|AL|079|Lawrence|004|Lawrence|C|nw|34.52200|-87.31100
01|AL|081|Lee|047|Lee|C|ec|32.60120|-85.35560
01|AL|083|Limestone|005|Limestone|C|nc|34.81010|-86.98130
01|AL|085|Lowndes|042|Lowndes|C|sc|32.15470|-86.65010
01|AL|087|Macon|045|Macon|C|se|32.38600|-85.69260
01|AL|089|Madison|006|Madison|C|nc|34.76310|-86.55020
01|AL|091|Marengo|039|Marengo|C|sw|32.24760|-87.78950
01|AL|093|Marion|011|Marion|C|nw|34.13660|-87.88710
01|AL|095|Marshall|008|Marshall|C|ne|34.36690|-86.30660
01|AL|097|Mobile|261|Mobile Inland|C|sw|30.92370|-88.18500
01|AL|097|Mobile|263|Mobile Central|C|sw|30.52830|-88.23630
01|AL|097|Mobile|265|Mobile Coastal|C|sw|30.52830|-88.23630
01|AL|099|Monroe|055|Monroe|C|sc|31.57060|-87.36580
01|AL|101|Montgomery|044|Montgomery|C|sc|32.22020|-86.20760
01|AL|103|Morgan|007|Morgan|C|nc|34.45350|-86.85290
01|AL|105|Perry|033|Perry|C|c|32.63850|-87.29420
01|AL|107|Pickens|022|Pickens|C|wc|33.28090|-88.08870
01|AL|109|Pike|049|Pike|C|se|31.80240|-85.94090
01|AL|111|Randolph|029|Randolph|C|ec|33.29380|-85.45910
01|AL|113|Russell|048|Russell|C|se|32.28840|-85.18490
01|AL|115|St. Clair|026|St. Clair|C|c|33.71570|-86.31470
01|AL|117|Shelby|025|Shelby|C|c|33.26430|-86.66070
01|AL|119|Sumter|030|Sumter|C|wc|32.59100|-88.19880
01|AL|121|Talladega|027|Talladega|C|ec|33.38000|-86.16590
01|AL|123|Tallapoosa|037|Tallapoosa|C|ec|32.86240|-85.79750
01|AL|125|Tuscaloosa|023|Tuscaloosa|C|wc|33.28950|-87.52500
01|AL|127|Walker|015|Walker|C|c|33.80340|-87.29730
01|AL|129|Washington|052|Washington|C|sw|31.40770|-88.20710
01|AL|131|Wilcox|054|Wilcox|C|sc|31.98920|-87.30820
01|AL|133|Winston|014|Winston|C|nw|34.14920|-87.37370
02|AK|013|Aleutians East|181|Alaska Peninsula|A| |55.60960|-161.20290
