"state","cwa","county_name","fips","time_zone","fe_area","latitude","longitude"
"AS","PPG","Swains Island","60040","S","",-11.0843135727,-171.045906854
"AS","PPG","Manu'a","60020","S","",-14.2219188558,-169.505974367
"AS","PPG","Western","60050","S","",-14.3241320779,-170.769127816
"AS","PPG","Eastern","60010","S","",-14.2762605238,-170.659640826
"PR","SJU","Anasco","72011","V","",18.2869898103,-67.1221334091
"PR","SJU","Arroyo","72015","V","",17.9981599415,-66.0563227972
"PR","SJU","Barceloneta","72017","V","",18.4453516705,-66.5604695883
"PR","SJU","Barranquitas","72019","V","",18.2017400962,-66.3099147573
"PR","SJU","Bayamon","72021","V","",18.3496562585,-66.1683662854
"PR","SJU","Caguas","72025","V","",18.2119350251,-66.0507611894
"PR","SJU","Canovanas","72029","V","",18.3287753538,-65.8878592583
"PR","SJU","Cayey","72035","V","",18.102936611,-66.1494833593
"PR","SJU","Ceiba","72037","V","",18.2525695915,-65.6678168206
"PR","SJU","Ciales","72039","V","",18.2889166266,-66.5163870357
"PR","SJU","Cidra","72041","V","",18.1736972745,-66.1610825403
"PR","SJU","Coamo","72043","V","",18.0972269151,-66.3601330092
"PR","SJU","Comerio","72045","V","",18.2247562845,-66.2218823373
"PR","SJU","Corozal","72047","V","",18.3043078034,-66.3279015154
"PR","SJU","Florida","72054","V","",18.3734554476,-66.5601344105
"PR","SJU","Guanica","72055","V","",17.9826939618,-66.9197738288
"PR","SJU","Guayama","72057","V","",18.007709445,-66.1335641095
"PR","SJU","Guayanilla","72059","V","",18.0406335736,-66.791621391
"PR","SJU","Guaynabo","72061","V","",18.3442416633,-66.1144714502
"PR","SJU","Gurabo","72063","V","",18.2663154867,-65.9791361419
"PR","SJU","Hatillo","72065","V","",18.4105973082,-66.7963472157
"PR","SJU","Hormigueros","72067","V","",18.1340682531,-67.1139951877
"PR","SJU","Mayaguez","72097","V","",18.1716224346,-67.337026924
"PR","SJU","Naguabo","72103","V","",18.2305783306,-65.7541634788
"PR","SJU","Jayuya","72073","V","",18.2106035896,-66.5884551855
"PR","SJU","Juana Diaz","72075","V","",18.0507242161,-66.495106595
"PR","SJU","Juncos","72077","V","",18.2235743566,-65.9089152177
"PR","SJU","Lajas","72079","V","",18.0122657898,-67.0404446679
"PR","SJU","Lares","72081","V","",18.2689134228,-66.8668719209
"PR","SJU","Las Piedras","72085","V","",18.1876118191,-65.8692580511
"PR","SJU","Manati","72091","V","",18.4203937202,-66.4902331077
"PR","SJU","Maricao","72093","V","",18.1721054719,-66.9423612845
"PR","SJU","Maunabo","72095","V","",18.0180453808,-65.9218898258
"PR","SJU","Moca","72099","V","",18.3779027702,-67.0807920015
"PR","SJU","Morovis","72101","V","",18.3170779657,-66.4202403018
"PR","SJU","Naranjito","72105","V","",18.288372208,-66.252587126
"PR","SJU","Orocovis","72107","V","",18.2148628805,-66.4338757203
"PR","SJU","Patillas","72109","V","",18.0317052035,-66.0121887075
"PR","SJU","Penuelas","72111","V","",18.0608149582,-66.7210978311
"PR","SJU","Ponce","72113","V","",18.0596623467,-66.6140525757
"PR","SJU","Sabana Grande","72121","V","",18.083023264,-66.9435140491
"PR","SJU","Salinas","72123","V","",18.0114742322,-66.2563678916
"PR","SJU","San German","72125","V","",18.1111203754,-67.0384585015
"PR","SJU","San Juan","72127","V","",18.3864025031,-66.0606657967
"PR","SJU","San Lorenzo","72129","V","",18.1479924582,-65.9764383815
"PR","SJU","Santa Isabel","72133","V","",17.9949930593,-66.3888678188
"PR","SJU","Trujillo Alto","72139","V","",18.3361971617,-65.9992130701
"PR","SJU","Utuado","72141","V","",18.2710021702,-66.7023997107
"PR","SJU","Vega Alta","72143","V","",18.4092829551,-66.3371851463
"PR","SJU","Villalba","72149","V","",18.1280324479,-66.4728725891
"PR","SJU","Yabucoa","72151","V","",18.0705715789,-65.8965247629
"PR","SJU","Yauco","72153","V","",18.080111009,-66.8586381314
"PR","SJU","San Sebastian","72131","V","",18.3287534916,-66.9712357852
"PR","SJU","Adjuntas","72001","V","",18.1797772111,-66.7541884756
"PR","SJU","Aguas Buenas","72007","V","",18.2516477989,-66.126801479
"PR","SJU","Aibonito","72009","V","",18.1310646941,-66.2643859051
"VI","SJU","Saint Croix","78010","V","",17.7332761029,-64.7677084367
"PR","SJU","Arecibo","72013","V","",18.406756776,-66.6751523758
"PR","SJU","Las Marias","72083","V","",18.2371178787,-66.9834742278
"PR","SJU","Rincon","72117","V","",18.337384797,-67.2413731694
"PR","SJU","Aguadilla","72005","V","",18.4597098279,-67.1207524892
"PR","SJU","Isabela","72071","V","",18.4499373611,-67.0052209081
"PR","SJU","Camuy","72027","V","",18.4188327713,-66.8602435468
"PR","SJU","Dorado","72051","V","",18.4364512844,-66.278745958
"PR","SJU","Toa Alta","72135","V","",18.3625456128,-66.2463964395
"PR","SJU","Aguada","72003","V","",18.3602631895,-67.1747597023
"PR","SJU","Culebra","72049","V","",18.3158598784,-65.2876613109
"PR","SJU","Cabo Rojo","72023","V","",18.0415141163,-67.1536692987
"PR","SJU","Fajardo","72053","V","",18.3176378688,-65.6685629158
"PR","SJU","Vieques","72147","V","",18.1231437971,-65.4414543258
"PR","SJU","Carolina","72031","V","",18.3741885554,-65.9567037733
"VI","SJU","Saint Thomas","78030","V","",18.3453346447,-64.9301798723
"PR","SJU","Quebradillas","72115","V","",18.4396928902,-66.9259511222
"PR","SJU","Catano","72033","V","",18.4374283865,-66.1440241121
"PR","SJU","Luquillo","72089","V","",18.3421915786,-65.7249129897
"PR","SJU","Humacao","72069","V","",18.1451913187,-65.8105298213
"VI","SJU","Saint John","78020","V","",18.3390185284,-64.738468801
"HI","HFO","Hawaii","15001","H","",19.6012736483,-155.521247969
"HI","HFO","Kauai","15007","H","",22.0424935103,-159.599549184
"HI","HFO","Maui","15009","H","",20.8658784215,-156.571050082
"PR","SJU","Rio Grande","72119","V","",18.3552710125,-65.8201741639
"PR","SJU","Loiza","72087","V","",18.4339943427,-65.9247155129
"GU","GUM","Guam","66010","G","",13.4419388096,144.774924531
"GU","GUM","Northern Islands","69085","G","",17.9723684642,145.692220003
"GU","GUM","Saipan","69110","G","",15.1889077662,145.752297119
"GU","GUM","Rota","69100","G","",14.155820885,145.212646035
"GU","GUM","Tinian","69120","G","",15.0013849804,145.6241335
"CT","BOX","Hartford","09003","E","nn",41.8064189558,-72.7328030729
"CT","BOX","Tolland","09013","E","nn",41.8550226889,-72.3364671895
"CT","BOX","Windham","09015","E","nn",41.8299573576,-71.9875438847
"MA","BOX","Nantucket","25019","E","se",41.2780803521,-70.0744384319
"MD","PBZ","Garrett","24023","E","ww",39.5286071586,-79.2738564438
"VT","BTV","Windsor","50027","E","ss",43.5798143892,-72.5854664114
"NH","GYX","Sullivan","33019","E","cc",43.3612339604,-72.2223398855
"NH","GYX","Belknap","33001","E","cc",43.5187532724,-71.4232937101
"NH","GYX","Cheshire","33005","E","ss",42.9193213131,-72.2511743698
"NH","GYX","Strafford","33017","E","cc",43.2974706835,-71.0293251754
"NY","BGM","Yates","36123","E","cc",42.6334679269,-77.1054575937
"NY","BUF","Allegany","36003","E","ww",42.2574103086,-78.0275786019
"NY","BGM","Broome","36007","E","cc",42.1602248456,-75.8196152928
"NY","BUF","Cattaraugus","36009","E","ww",42.2485964125,-78.6789115124
"NY","BGM","Chemung","36015","E","cc",42.1412587022,-76.7600150662
"NY","BGM","Chenango","36017","E","cc",42.4935571625,-75.6115447661
"NY","BGM","Cortland","36023","E","cc",42.595012251,-76.0702434378
"NY","BGM","Delaware","36025","E","cc",42.1982008649,-74.9664502772
"NY","BUF","Genesee","36037","E","ww",43.0009711078,-78.1936413424
"NY","ALY","Hamilton","36041","E","ee",43.6611353464,-74.4973494657
"NY","BUF","Lewis","36049","E","cc",43.7847174314,-75.4487643438
"NY","BUF","Livingston","36051","E","ww",42.7280541709,-77.7754398821
"NY","BGM","Madison","36053","E","cc",42.9128730137,-75.6697411873
"NY","ALY","Montgomery","36057","E","ee",42.9023082821,-74.4396976157
"NY","BGM","Onondaga","36067","E","cc",43.0057844333,-76.1946456673
"NY","BUF","Ontario","36069","E","ww",42.852886201,-77.2998268292
"NY","OKX","Orange","36071","E","se",41.4022312247,-74.3056367538
"NY","BGM","Otsego","36077","E","cc",42.6338325057,-75.0326330144
"NY","OKX","Putnam","36079","E","se",41.4266597197,-73.7495386339
"NY","OKX","Rockland","36087","E","se",41.1529407307,-74.0240807069
"NY","ALY","Schoharie","36095","E","ec",42.5882339285,-74.4421059456
"NY","BGM","Schuyler","36097","E","cc",42.3937831218,-76.8752200454
"NY","BGM","Seneca","36099","E","cc",42.7810206913,-76.8237447038
"NY","BGM","Steuben","36101","E","cc",42.2678248041,-77.3837888335
"NY","BGM","Sullivan","36105","E","cc",41.7164109701,-74.7681173594
"NY","BGM","Tioga","36107","E","cc",42.170260452,-76.3063004136
"NY","BGM","Tompkins","36109","E","cc",42.4520155795,-76.4736675991
"NY","BUF","Wyoming","36121","E","ww",42.7023306142,-78.2244902887
"PA","CTP","Adams","42001","E","sc",39.871510482,-77.2179083233
"PA","PBZ","Allegheny","42003","E","sw",40.4688415845,-79.9812077812
"PA","PBZ","Armstrong","42005","E","wc",40.8124624493,-79.4645142662
"PA","PBZ","Beaver","42007","E","ww",40.6822705224,-80.3493324082
"PA","CTP","Bedford","42009","E","sc",40.0065895846,-78.4901611064
"PA","CTP","Blair","42013","E","cc",40.4812653928,-78.3486015517
"PA","BGM","Bradford","42015","E","ne",41.7886172926,-76.5156681927
"PA","PBZ","Butler","42019","E","wc",40.911715553,-79.9129914462
"PA","CTP","Cambria","42021","E","cc",40.495408581,-78.7135715571
"PA","CTP","Cameron","42023","E","nc",41.4367792995,-78.2038245808
"PA","PBZ","Clarion","42031","E","wc",41.1925170724,-79.4209939671
"PA","CTP","Clearfield","42033","E","cc",41.0002309553,-78.4741093336
"PA","CTP","Columbia","42037","E","cc",41.0486258631,-76.4051809466
"PA","CLE","Crawford","42039","E","nw",41.6847544259,-80.1062871452
"PA","CTP","Cumberland","42041","E","sc",40.1637437658,-77.265094606
"PA","CTP","Dauphin","42043","E","sc",40.4155199978,-76.7792490091
"PA","CTP","Elk","42047","E","nc",41.4252515819,-78.6492028499
"PA","PBZ","Forest","42053","E","nw",41.5132033612,-79.2360679756
"PA","CTP","Franklin","42055","E","sc",39.9274686858,-77.7211875105
"PA","CTP","Fulton","42057","E","sc",39.9254509164,-78.1123968329
"PA","PBZ","Greene","42059","E","sw",39.8538108273,-80.2228847625
"PA","CTP","Huntingdon","42061","E","cc",40.4170113272,-77.9812361003
"PA","PBZ","Indiana","42063","E","wc",40.6520867719,-79.0875487578
"PA","PBZ","Jefferson","42065","E","wc",41.1281272073,-78.9994518296
"PA","CTP","Juniata","42067","E","cc",40.5311431745,-77.4020192441
"PA","BGM","Lackawanna","42069","E","ne",41.4370451785,-75.6091626457
"PA","CTP","Lancaster","42071","E","sc",40.0423711895,-76.2477307002
"PA","PBZ","Lawrence","42073","E","ww",40.9912027483,-80.3342254356
"PA","CTP","Lebanon","42075","E","sc",40.3672393775,-76.4576859818
"PA","BGM","Luzerne","42079","E","ne",41.1771504461,-75.9888655674
"PA","CTP","McKean","42083","E","nc",41.8077636812,-78.5690067539
"PA","PBZ","Mercer","42085","E","nw",41.3021774344,-80.2577147929
"PA","CTP","Mifflin","42087","E","cc",40.6103842963,-77.6170707243
"PA","CTP","Montour","42093","E","cc",41.0279881112,-76.6586038835
"PA","CTP","Perry","42099","E","sc",40.3984422987,-77.2621995604
"PA","BGM","Pike","42103","E","ne",41.3320746035,-75.0337500548
"PA","CTP","Potter","42105","E","nc",41.7449670142,-77.8958474714
"PA","CTP","Schuylkill","42107","E","cc",40.7058636562,-76.2159743799
"PA","CTP","Snyder","42109","E","cc",40.7699687034,-77.0701370441
"PA","CTP","Somerset","42111","E","sc",39.972486464,-79.0282904663
"PA","CTP","Sullivan","42113","E","nc",41.4459867619,-76.5119145431
"PA","BGM","Susquehanna","42115","E","ne",41.8213807531,-75.8008408641
"PA","CTP","Tioga","42117","E","nc",41.7720698003,-77.2543080558
"PA","CTP","Union","42119","E","cc",40.962977469,-77.062078581
"PA","PBZ","Venango","42121","E","nw",41.4009710551,-79.7579703619
"PA","CTP","Warren","42123","E","nc",41.8147197368,-79.2741373868
"PA","PBZ","Washington","42125","E","sw",40.1894240975,-80.2482377702
"PA","BGM","Wyoming","42131","E","ne",41.5184100842,-76.0165081404
"PA","CTP","York","42133","E","sc",39.9199270478,-76.7265091617
"RI","BOX","Newport","44005","E","",41.5559937577,-71.2365864038
"VA","RNK","Patrick","51141","E","sw",36.6783557478,-80.2843398194
"VA","RNK","Pittsylvania","51143","E","sc",36.8213216277,-79.3971191005
"VA","RNK","Pulaski","51155","E","sw",37.0636265145,-80.7143066972
"VA","RNK","Roanoke","51161","E","wc",37.2693434927,-80.0679087155
"VA","RNK","Rockbridge","51163","E","wc",37.814631438,-79.4475384162
"VA","MRX","Russell","51167","E","sw",36.9337736141,-82.0956127986
"VA","MRX","Scott","51169","E","sw",36.7142150128,-82.6029759411
"VA","RNK","Smyth","51173","E","sw",36.8438651072,-81.536952453
"VA","RNK","Tazewell","51185","E","sw",37.1249645528,-81.5606412143
"VA","MRX","Washington","51191","E","sw",36.7245082419,-81.9595904728
"VA","MRX","Wise","51195","E","sw",36.9752527534,-82.6212251404
"VA","RNK","Wythe","51197","E","sw",36.9171318748,-81.0785927726
"VA","RNK","Alleghany","51005","E","wc",37.7876357994,-80.0069645361
"VA","RNK","Carroll","51035","E","sw",36.7315449135,-80.7338908963
"VA","RNK","Campbell","51031","E","cc",37.2056331542,-79.0963397782
"VA","RNK","Henry","51089","E","sc",36.6827672754,-79.8739340754
"VA","RNK","Montgomery","51121","E","sw",37.1740372646,-80.3869337332
"VA","RNK","Halifax","51083","E","sc",36.7669751954,-78.9366624352
"VA","RNK","Grayson","51077","E","sw",36.6566018422,-81.2249520894
"VA","RNK","Giles","51071","E","sw",37.3140608829,-80.7036903766
"VA","RNK","Franklin","51067","E","wc",36.9919523804,-79.8810419633
"VA","RNK","Floyd","51063","E","sw",36.9314966702,-80.362566744
"VA","RLX","Dickenson","51051","E","",37.1257602532,-82.3503329196
"VA","RNK","Craig","51045","E","sw",37.4812638142,-80.2123492182
"VA","RNK","Charlotte","51037","E","sc",37.0115926342,-78.6616246796
"VA","RNK","Buckingham","51029","E","cc",37.5721999937,-78.5286893938
"VA","RLX","Buchanan","51027","E","",37.2666376795,-82.0360064978
"VA","RNK","Botetourt","51023","E","wc",37.5571351909,-79.8122935795
"VA","RNK","Bland","51021","E","sw",37.1339877708,-81.1302144144
"VA","RNK","Bedford","51019","E","sc",37.3151636704,-79.5241780594
"VA","RNK","Bath","51017","E","wc",38.0587066641,-79.7410525852
"VA","RNK","Appomattox","51011","E","cc",37.3722408204,-78.8121175301
"VA","RNK","Amherst","51009","E","cc",37.6048226565,-79.1451056288
"VA","MRX","Lee","51105","E","sw",36.7054607888,-83.1284882088
"VT","BTV","Lamoille","50015","E","nw",44.6057344307,-72.6413941092
"VT","BTV","Orange","50017","E","cc",44.0056436546,-72.3769348919
"VT","ALY","Bennington","50003","E","ss",43.0354703091,-73.0929267158
"VT","BTV","Orleans","50019","E","ne",44.8287745196,-72.2438266538
"VT","BTV","Washington","50023","E","cc",44.2734329986,-72.6149291505
"VT","BTV","Grand Isle","50013","E","nw",44.7968019229,-73.2948325285
"WV","RLX","Raleigh","54081","E","",37.7713648482,-81.2485997464
"WV","RLX","Putnam","54079","E","",38.5086395261,-81.9089651684
"WV","PBZ","Preston","54077","E","nn",39.4692823504,-79.6681372942
