"state_fips","state_usps","county_fips","county_name","cwa","time_zone","feature_area","latitude","longitude"
"01","AL","001","Autauga","BMX","C","c",32.5349416679,-86.6427681791
"01","AL","003","Baldwin","MOB","C","sw",30.7278277573,-87.7171326931
"01","AL","005","Barbour","BMX","C","se",31.869591086,-85.393233463
"01","AL","007","Bibb","BMX","C","c",32.9986388634,-87.1264308085
"01","AL","009","Blount","BMX","C","c",33.9808842489,-86.5673773426
"01","AL","011","Bullock","BMX","C","se",32.1004870319,-85.7160892256
"01","AL","013","Butler","MOB","C","sc",31.7524346765,-86.6802828494
"01","AL","015","Calhoun","BMX","C","ec",33.7714312818,-85.8260586384
"01","AL","017","Chambers","BMX","C","ec",32.9143649038,-85.3920429556
"01","AL","019","Cherokee","BMX","C","ne",34.1759643015,-85.6037849531
"01","AL","021","Chilton","BMX","C","c",32.8478605864,-86.7188352519
"01","AL","023","Choctaw","MOB","C","sw",32.0192408281,-88.2628359673
"01","AL","025","Clarke","MOB","C","sw",31.6708787189,-87.8309335708
"01","AL","027","Clay","BMX","C","ec",33.2690789698,-85.8605331133
"01","AL","029","Cleburne","BMX","C","ec",33.6745345473,-85.5187982489
"01","AL","031","Coffee","TAE","C","se",31.4026448434,-85.9881918794
"01","AL","033","Colbert","HUN","C","nw",34.7004503629,-87.8048943623
"01","AL","035","Conecuh","MOB","C","sc",31.4292971636,-86.9936242347
"01","AL","037","Coosa","BMX","C","ec",32.9362320562,-86.2476383344
"01","AL","039","Covington","MOB","C","sc",31.2484833463,-86.4512131774
"01","AL","041","Crenshaw","MOB","C","sc",31.7315154043,-86.3135537092
"01","AL","043","Cullman","HUN","C","nc",34.1319768601,-86.8676175666
"01","AL","045","Dale","TAE","C","se",31.4318335628,-85.611008823
"01","AL","047","Dallas","BMX","C","sc",32.3258295012,-87.1064982788
"01","AL","049","DeKalb","HUN","C","ne",34.4597774006,-85.8041476265
"01","AL","051","Elmore","BMX","C","ec",32.5966106435,-86.1491917898
"01","AL","053","Escambia","MOB","C","sc",31.1261647408,-87.1615643529
"01","AL","055","Etowah","BMX","C","ne",34.0452713291,-86.0347877252
"01","AL","057","Fayette","BMX","C","wc",33.7212110544,-87.7388646477
"01","AL","059","Franklin","HUN","C","nw",34.4416819007,-87.8437896838
"01","AL","061","Geneva","TAE","C","se",31.0950187914,-85.8389710381
"01","AL","063","Greene","BMX","C","wc",32.8531128123,-87.9522288935
"01","AL","065","Hale","BMX","C","wc",32.7626895445,-87.6291108936
"01","AL","067","Henry","TAE","C","se",31.5146793668,-85.2414007403
"01","AL","069","Houston","TAE","C","se",31.1531923893,-85.3025303619
"01","AL","071","Jackson","HUN","C","ne",34.7794345099,-85.9992962989
"01","AL","073","Jefferson","BMX","C","c",33.5542980023,-86.8965101475
"01","AL","075","Lamar","BMX","C","wc",33.7792132155,-88.0968931889
"01","AL","077","Lauderdale","HUN","C","nw",34.9015385355,-87.6543614767
"01","AL","079","Lawrence","HUN","C","nw",34.5219985293,-87.3110315357
