"state","zone","cwa","name","state_zone","time_zone","fe_area","latitude","longitude"
"AK","017","AJK","Cape Fairweather to Cape Suckling Coastal Area","AK017","A","",59.9186059337,-140.576895525
"AK","018","AJK","Taiya Inlet and Klondike Highway","AK018","A","",59.5601124464,-135.33790537
"AK","019","AJK","Haines Borough and Lynn Canal","AK019","A","",59.0942111162,-135.429454674
"AK","020","AJK","Glacier Bay","AK020","A","",58.7894781099,-136.376710117
"AK","021","AJK","Eastern Chichagof Island","AK021","A","",57.8951559691,-135.447482827
"AK","022","AJK","Salisbury Sound to Cape Fairweather Coastal Area","AK022","A","",58.15183266,-136.589522355
"AK","023","AJK","Cape Decision to Salisbury Sound Coastal Area","AK023","A","",56.9011984789,-135.15753433
"AK","024","AJK","Eastern Baranof Island and Southern Admiralty Island","AK024","A","",57.3045051355,-134.599233193
"AK","025","AJK","Juneau Borough and Northern Admiralty Island","AK025","A","",58.0223536016,-133.798858017
"AK","026","AJK","Inner Channels from Kupreanof Island to Etolin Island","AK026","A","",56.599699802,-132.981032038
"AK","027","AJK","Dixon Entrance to Cape Decision Coastal Area","AK027","A","",55.295085913,-133.007528217
"AK","028","AJK","Southern Inner Channels","AK028","A","",55.5399514081,-132.054920719
"AK","029","AJK","Misty Fjords","AK029","A","",55.7461138628,-130.802203009
"AK","101","AFC","Anchorage","AK101","A","",61.1948028087,-149.518155683
"AK","111","AFC","Matanuska Valley","AK111","A","",61.5885489727,-149.165643644
"AK","121","AFC","Western Kenai Peninsula","AK121","A","",60.3254168922,-150.709037981
"AK","125","AFC","Western Prince William Sound","AK125","A","",60.3983147189,-148.994068411
"AK","131","AFC","Northeast Prince William Sound","AK131","A","",61.1700316635,-146.511238182
"AK","135","AFC","Southeast Prince William Sound","AK135","A","",60.5930603534,-145.247458306
"AK","141","AFC","Copper River Basin","AK141","A","",61.9019607306,-144.931239828
"AK","145","AFC","Susitna Valley","AK145","A","",62.1220347078,-150.68736777
"AK","152","AFC","Lower Kuskokwim Valley","AK152","A","",61.5197823661,-156.316887341
"AK","155","AFC","Kuskokwim Delta","AK155","A","",60.6697687097,-162.913964372
"AK","161","AFC","Bristol Bay","AK161","A","",59.2983939768,-157.245126081
"AK","171","AFC","Kodiak Island","AK171","A","",58.2911014305,-154.162883713
"AK","181","AFC","Alaska Peninsula","AK181","A","",55.6095795719,-161.202867463
"AK","185","AFC","Eastern Aleutians","AK185","AH","",53.5983050555,-167.20484393
"AK","187","AFC","Central Aleutians","AK187","AH","",52.0612548305,-175.071552983
"AK","191","AFC","Western Aleutians","AK191","AH","",52.3658229534,175.539326666
"AK","195","AFC","Pribilof Islands","AK195","AH","",56.9092304359,-169.978982351
"AK","201","AFG","Western Arctic Coast","AK201","A","",70.0813049481,-160.332313572
"AK","202","AFG","Northern Arctic Coast","AK202","A","",70.6872901226,-155.371165209
"AK","203","AFG","Central Beaufort Sea Coast","AK203","A","",70.2068617544,-149.561596515
"AK","204","AFG","Eastern Beaufort Sea Coast","AK204","A","",69.886597923,-143.783144635
"AK","205","AFG","Northwestern Brooks Range","AK205","A","",69.2115027506,-157.299953822
"AK","206","AFG","Northeastern Brooks Range","AK206","A","",69.0427027327,-148.25251721
"AK","207","AFG","Chukchi Sea Coast","AK207","A","",66.8026516985,-165.286012386
